individual: 0,946
355, 963, 0.341869519723
356, 961, 0.91377766019
356, 962, 0.0466798264683
356, 963, 0.039993031346
357, 961, 0.198885879091
357, 962, 0.0942329535742
357, 963, 0.556047080289
358, 961, 0.543948570684
358, 962, 0.56421486327
358, 963, 0.811487567071
359, 961, 0.534536742345
359, 962, 0.989488023874
359, 963, 0.484016173389
384, 961, 0.262663575899
384, 962, 0.893584585496
384, 963, 0.787072927619
385, 961, 0.0952180697953
385, 962, 0.939692554822
385, 963, 0.277619550892
386, 961, 0.57431186962
386, 962, 0.425548000951
386, 963, 0.522019564165
387, 961, 0.648724365784
387, 962, 0.864327756624
387, 963, 0.843297096831
388, 961, 0.978762207637
388, 962, 0.125184449485
388, 963, 0.910795481091
389, 961, 0.47003633687
389, 962, 0.809103748264
389, 963, 0.399399347431
390, 961, 0.394022124132
390, 962, 0.595298007426
390, 963, 0.571892546177
561, 962, 0.0
415, 961, 0.491356700445
415, 962, 0.184645441971
415, 963, 0.775818606346
416, 961, 0.777206101009
416, 962, 0.541552691451
416, 963, 0.582401741219
417, 961, 0.443337926149
417, 962, 0.0381000625723
417, 963, 0.658401229807
418, 961, 0.208336557361
418, 962, 0.826215276681
418, 963, 0.668583957026
419, 961, 0.523260559759
419, 962, 0.785274089294
419, 963, 0.532011274635
420, 961, 0.314256600573
420, 962, 0.0887219968194
420, 963, 0.659418284242
421, 961, 0.151184493205
421, 962, 0.83123453559
421, 963, 0.21052299604
446, 961, 0.726204447887
446, 962, 0.714267526307
446, 963, 0.545482896814
447, 961, 0.659353235967
447, 962, 0.872350545751
447, 963, 0.889957161164
448, 961, 0.873652460379
448, 962, 0.325926052783
448, 963, 0.690133722505
449, 961, 0.275654399023
449, 962, 0.411624509407
449, 963, 0.561312157277
450, 961, 0.0776886563049
450, 962, 0.381728497376
450, 963, 0.665635787191
451, 961, 0.291971935785
451, 962, 0.851416270592
451, 963, 0.383993260968
452, 961, 0.805851592368
452, 962, 0.174706423059
452, 963, 0.331768682943
211, 961, 0.398802765383
477, 961, 0.899298735399
477, 962, 0.523300470499
477, 963, 0.768846461255
478, 961, 0.136301713076
478, 962, 0.847293609836
478, 963, 0.252453380797
479, 961, 0.967425844498
479, 962, 0.530811721337
479, 963, 0.495378226991
480, 961, 0.394520958929
480, 962, 0.92780029917
480, 963, 0.162426670736
481, 961, 0.317651426346
481, 962, 0.979972894003
481, 963, 0.672730513253
482, 961, 0.218178087413
482, 962, 0.814905327601
482, 963, 0.561203004689
483, 961, 0.75652372734
483, 962, 0.153644359893
483, 963, 0.390008050673
508, 961, 0.0878696376292
508, 962, 0.444622711116
508, 963, 0.58048388049
509, 961, 0.739825197447
509, 962, 0.142282382504
509, 963, 0.495084258846
510, 961, 0.929792705553
510, 962, 0.801903851483
510, 963, 0.0487003315192
511, 961, 0.0199496458909
511, 962, 0.0667365952977
511, 963, 0.567347683013
512, 961, 0.0306091641006
512, 962, 0.0954124791597
512, 963, 0.84695566949
513, 961, 0.676479893877
513, 962, 0.44681038393
513, 963, 0.439058297773
514, 961, 0.555789379795
514, 962, 0.256347783745
514, 963, 0.146249119123
individual: 24,322
9, 963, 0.621194193212
353, 961, 0.552139081416
353, 962, 0.539370208286
353, 963, 0.534448445435
354, 961, 0.723185362068
354, 962, 0.569478630074
354, 963, 0.10096590457
355, 961, 0.845056722143
355, 962, 0.878393902918
355, 963, 0.837744121543
356, 961, 0.91377766019
356, 962, 0.0466798264683
356, 963, 0.039993031346
357, 961, 0.198885879091
357, 962, 0.0942329535742
357, 963, 0.556047080289
358, 961, 0.543948570684
358, 962, 0.56421486327
358, 963, 0.811487567071
359, 961, 0.534536742345
359, 962, 0.989488023874
359, 963, 0.280500254616
384, 961, 0.465818340522
384, 962, 0.893584585496
384, 963, 0.787072927619
385, 961, 0.0952180697953
385, 962, 0.939692554822
385, 963, 0.277619550892
386, 961, 0.57431186962
386, 962, 0.425548000951
386, 963, 0.522019564165
387, 961, 0.648724365784
387, 962, 0.864327756624
387, 963, 0.843297096831
388, 961, 0.978762207637
388, 962, 0.125184449485
388, 963, 0.910795481091
389, 961, 0.636051621843
389, 962, 0.809103748264
389, 963, 0.399399347431
390, 961, 0.394022124132
390, 962, 0.595298007426
390, 963, 0.571892546177
561, 962, 0.0
415, 961, 0.491356700445
415, 962, 0.184645441971
415, 963, 0.775818606346
416, 961, 0.777206101009
416, 962, 0.910272905593
416, 963, 0.742064420466
417, 961, 0.443337926149
417, 962, 0.0381000625723
417, 963, 0.676318014001
418, 961, 0.208336557361
418, 962, 0.826215276681
418, 963, 0.668583957026
419, 961, 0.686452791762
419, 962, 0.785274089294
419, 963, 0.532011274635
420, 961, 0.314256600573
420, 962, 0.468763190666
420, 963, 0.890125034201
421, 961, 0.151184493205
421, 962, 0.83123453559
421, 963, 0.21052299604
446, 961, 0.726204447887
446, 962, 0.714267526307
446, 963, 0.919647481104
447, 961, 0.370763117699
447, 962, 0.872350545751
447, 963, 0.889957161164
448, 961, 0.873652460379
448, 962, 0.203353411614
448, 963, 0.690133722505
449, 961, 0.275654399023
449, 962, 0.411624509407
449, 963, 0.561312157277
450, 961, 0.0776886563049
450, 962, 0.381728497376
450, 963, 0.665635787191
451, 961, 0.291971935785
451, 962, 0.851416270592
451, 963, 0.383993260968
452, 961, 0.805851592368
452, 962, 0.174706423059
452, 963, 0.331768682943
211, 961, 0
477, 961, 0.899298735399
477, 962, 0.523300470499
477, 963, 0.768846461255
478, 961, 0.136301713076
478, 962, 0.847293609836
478, 963, 0.252453380797
479, 961, 0.967425844498
479, 962, 0.530811721337
479, 963, 0.495378226991
480, 961, 0.394520958929
480, 962, 0.92780029917
480, 963, 0.162426670736
481, 961, 0.317651426346
481, 962, 0.979972894003
481, 963, 0.672730513253
482, 961, 0.218178087413
482, 962, 0.814905327601
482, 963, 0.561203004689
483, 961, 0.75652372734
483, 962, 0.153644359893
483, 963, 0.390008050673
508, 961, 0.0878696376292
508, 962, 0.444622711116
508, 963, 0.58048388049
509, 961, 0.739825197447
509, 962, 0.142282382504
509, 963, 0.495084258846
510, 961, 0.929792705553
510, 962, 0.801903851483
510, 963, 0.0487003315192
511, 961, 0.0199496458909
511, 962, 0.0667365952977
511, 963, 0.567347683013
512, 961, 0.0306091641006
512, 962, 0.0954124791597
512, 963, 0.84695566949
513, 961, 0.676479893877
513, 962, 0.44681038393
513, 963, 0.439058297773
514, 961, 0.555789379795
514, 962, 0.256347783745
514, 963, 0.146249119123
individual: 25,321
353, 961, 0.159606547621
353, 962, 0.539370208286
353, 963, 0.534448445435
354, 961, 0.723185362068
354, 962, 0.569478630074
354, 963, 0.10096590457
355, 961, 0.221242527963
355, 962, 0.878393902918
355, 963, 0.341869519723
356, 961, 0.91377766019
356, 962, 0.0466798264683
356, 963, 0.039993031346
357, 961, 0.198885879091
357, 962, 0.0942329535742
357, 963, 0.556047080289
358, 961, 0.543948570684
358, 962, 0.56421486327
358, 963, 0.811487567071
359, 961, 0.534536742345
359, 962, 0.989488023874
359, 963, 0.484016173389
384, 961, 0.262663575899
384, 962, 0.893584585496
384, 963, 0.787072927619
385, 961, 0.0952180697953
385, 962, 0.684055302441
385, 963, 0.277619550892
386, 961, 0.57431186962
386, 962, 0.425548000951
386, 963, 0.522019564165
387, 961, 0.648724365784
387, 962, 0.864327756624
387, 963, 0.694508531936
388, 961, 0.978762207637
388, 962, 0.125184449485
388, 963, 0.910795481091
389, 961, 0.47003633687
389, 962, 0.809103748264
389, 963, 0.399399347431
390, 961, 0.394022124132
390, 962, 0.595298007426
390, 963, 0.571892546177
561, 962, 0.0
415, 961, 0.968601787505
415, 962, 0.184645441971
415, 963, 0.775818606346
416, 961, 0.777206101009
416, 962, 0.910272905593
416, 963, 0.582401741219
417, 961, 0.443337926149
417, 962, 0.0381000625723
417, 963, 0.676318014001
418, 961, 0.208336557361
418, 962, 0.826215276681
418, 963, 0.668583957026
419, 961, 0.426848586849
419, 962, 0.785274089294
419, 963, 0.532011274635
420, 961, 0.314256600573
420, 962, 0.0887219968194
420, 963, 0.659418284242
421, 961, 0.151184493205
421, 962, 0.83123453559
421, 963, 0.21052299604
446, 961, 0.726204447887
446, 962, 0.714267526307
446, 963, 0.919647481104
447, 961, 0.659353235967
447, 962, 0.872350545751
447, 963, 0.889957161164
448, 961, 0.873652460379
448, 962, 0.183702144021
448, 963, 0.690133722505
449, 961, 0.275654399023
449, 962, 0.411624509407
449, 963, 0.561312157277
450, 961, 0.0776886563049
450, 962, 0.381728497376
450, 963, 0.665635787191
451, 961, 0.291971935785
451, 962, 0.851416270592
451, 963, 0.383993260968
452, 961, 0.805851592368
452, 962, 0.174706423059
452, 963, 0.788281791225
211, 961, 0
477, 961, 0.899298735399
477, 962, 0.523300470499
477, 963, 0.768846461255
478, 961, 0.136301713076
478, 962, 0.847293609836
478, 963, 0.252453380797
479, 961, 0.967425844498
479, 962, 0.530811721337
479, 963, 0.495378226991
480, 961, 0.394520958929
480, 962, 0.92780029917
480, 963, 0.162426670736
481, 961, 0.317651426346
481, 962, 0.979972894003
481, 963, 0.672730513253
482, 961, 0.218178087413
482, 962, 0.814905327601
482, 963, 0.561203004689
483, 961, 0.75652372734
483, 962, 0.153644359893
483, 963, 0.390008050673
508, 961, 0.0878696376292
508, 962, 0.831355621238
508, 963, 0.58048388049
509, 961, 0.739825197447
509, 962, 0.142282382504
509, 963, 0.585646822349
510, 961, 0.929792705553
510, 962, 0.801903851483
510, 963, 0.0487003315192
511, 961, 0.0199496458909
511, 962, 0.0667365952977
511, 963, 0.567347683013
512, 961, 0.0306091641006
512, 962, 0.0954124791597
512, 963, 0.84695566949
513, 961, 0.676479893877
513, 962, 0.44681038393
513, 963, 0.439058297773
514, 961, 0.555789379795
514, 962, 0.256347783745
514, 963, 0.0752845615065
individual: 26,321
353, 961, 0.552139081416
353, 962, 0.539370208286
353, 963, 0.534448445435
354, 961, 0.723185362068
354, 962, 0.569478630074
354, 963, 0.10096590457
355, 961, 0.845056722143
355, 962, 0.878393902918
355, 963, 0.341869519723
356, 961, 0.91377766019
356, 962, 0.0466798264683
356, 963, 0.039993031346
357, 961, 0.198885879091
357, 962, 0.0942329535742
357, 963, 0.556047080289
358, 961, 0.543948570684
358, 962, 0.56421486327
358, 963, 0.811487567071
359, 961, 0.534536742345
359, 962, 0.989488023874
359, 963, 0.484016173389
384, 961, 0.262663575899
384, 962, 0.893584585496
384, 963, 0.787072927619
385, 961, 0.0952180697953
385, 962, 0.939692554822
385, 963, 0.277619550892
386, 961, 0.57431186962
386, 962, 0.425548000951
386, 963, 0.522019564165
387, 961, 0.648724365784
387, 962, 0.864327756624
387, 963, 0.694508531936
388, 961, 0.978762207637
388, 962, 0.125184449485
388, 963, 0.910795481091
389, 961, 0.47003633687
389, 962, 0.809103748264
389, 963, 0.399399347431
390, 961, 0.394022124132
390, 962, 0.595298007426
390, 963, 0.571892546177
561, 962, 0.0
415, 961, 0.968601787505
415, 962, 0.184645441971
415, 963, 0.775818606346
416, 961, 0.777206101009
416, 962, 0.541552691451
416, 963, 0.582401741219
417, 961, 0.443337926149
417, 962, 0.0381000625723
417, 963, 0.658401229807
418, 961, 0.208336557361
418, 962, 0.826215276681
418, 963, 0.668583957026
419, 961, 0.686452791762
419, 962, 0.785274089294
419, 963, 0.532011274635
420, 961, 0.996179540269
420, 962, 0.468763190666
420, 963, 0.890125034201
421, 961, 0.151184493205
421, 962, 0.83123453559
421, 963, 0.21052299604
446, 961, 0.726204447887
446, 962, 0.714267526307
446, 963, 0.545482896814
447, 961, 0.659353235967
447, 962, 0.872350545751
447, 963, 0.889957161164
448, 961, 0.873652460379
448, 962, 0.325926052783
448, 963, 0.690133722505
449, 961, 0.275654399023
449, 962, 0.411624509407
449, 963, 0.561312157277
450, 961, 0.0776886563049
450, 962, 0.381728497376
450, 963, 0.665635787191
451, 961, 0.291971935785
451, 962, 0.851416270592
451, 963, 0.383993260968
452, 961, 0.805851592368
452, 962, 0.174706423059
452, 963, 0.331768682943
211, 961, 0.398802765383
477, 961, 0.899298735399
477, 962, 0.523300470499
477, 963, 0.768846461255
478, 961, 0.136301713076
478, 962, 0.847293609836
478, 963, 0.252453380797
479, 961, 0.967425844498
479, 962, 0.530811721337
479, 963, 0.495378226991
480, 961, 0.394520958929
480, 962, 0.92780029917
480, 963, 0.162426670736
481, 961, 0.317651426346
481, 962, 0.979972894003
481, 963, 0.672730513253
482, 961, 0.218178087413
482, 962, 0.814905327601
482, 963, 0.561203004689
483, 961, 0.75652372734
483, 962, 0.153644359893
483, 963, 0.390008050673
508, 961, 0.0878696376292
508, 962, 0.831355621238
508, 963, 0.58048388049
509, 961, 0.739825197447
509, 962, 0.142282382504
509, 963, 0.495084258846
510, 961, 0.929792705553
510, 962, 0.801903851483
510, 963, 0.0487003315192
511, 961, 0.0199496458909
511, 962, 0.0667365952977
511, 963, 0.567347683013
512, 961, 0.0306091641006
512, 962, 0.0954124791597
512, 963, 0.84695566949
513, 961, 0.676479893877
513, 962, 0.44681038393
513, 963, 0.439058297773
514, 961, 0.555789379795
514, 962, 0.256347783745
514, 963, 0.146249119123
individual: 27,313
9, 963, 0.621194193212
353, 961, 0.552139081416
353, 962, 0.539370208286
353, 963, 0.534448445435
354, 961, 0.723185362068
354, 962, 0.569478630074
354, 963, 0.10096590457
355, 961, 0.845056722143
355, 962, 0.878393902918
355, 963, 0.341869519723
356, 961, 0.91377766019
356, 962, 0.0466798264683
356, 963, 0.039993031346
357, 961, 0.198885879091
357, 962, 0.0942329535742
357, 963, 0.556047080289
358, 961, 0.543948570684
358, 962, 0.56421486327
358, 963, 0.811487567071
359, 961, 0.534536742345
359, 962, 0.989488023874
359, 963, 0.484016173389
384, 961, 0.262663575899
384, 962, 0.893584585496
384, 963, 0.787072927619
385, 961, 0.0952180697953
385, 962, 0.939692554822
385, 963, 0.277619550892
386, 961, 0.57431186962
386, 962, 0.425548000951
386, 963, 0.522019564165
387, 961, 0.648724365784
387, 962, 0.864327756624
387, 963, 0.843297096831
388, 961, 0.978762207637
388, 962, 0.125184449485
388, 963, 0.910795481091
389, 961, 0.47003633687
389, 962, 0.809103748264
389, 963, 0.399399347431
390, 961, 0.394022124132
390, 962, 0.595298007426
390, 963, 0.571892546177
561, 962, 0.0
415, 961, 0.491356700445
415, 962, 0.184645441971
415, 963, 0.775818606346
416, 961, 0.777206101009
416, 962, 0.541552691451
416, 963, 0.582401741219
417, 961, 0.443337926149
417, 962, 0.0381000625723
417, 963, 0.658401229807
418, 961, 0.208336557361
418, 962, 0.826215276681
418, 963, 0.668583957026
419, 961, 0.426848586849
419, 962, 0.785274089294
419, 963, 0.532011274635
420, 961, 0.996179540269
420, 962, 0.0887219968194
420, 963, 0.659418284242
421, 961, 0.981678251281
421, 962, 0.83123453559
421, 963, 0.21052299604
446, 961, 0.726204447887
446, 962, 0.714267526307
446, 963, 0.545482896814
447, 961, 0.659353235967
447, 962, 0.872350545751
447, 963, 0.889957161164
448, 961, 0.873652460379
448, 962, 0.325926052783
448, 963, 0.690133722505
449, 961, 0.275654399023
449, 962, 0.411624509407
449, 963, 0.561312157277
450, 961, 0.0776886563049
450, 962, 0.381728497376
450, 963, 0.665635787191
451, 961, 0.291971935785
451, 962, 0.851416270592
451, 963, 0.383993260968
452, 961, 0.805851592368
452, 962, 0.174706423059
452, 963, 0.331768682943
211, 961, 0.398802765383
477, 961, 0.899298735399
477, 962, 0.523300470499
477, 963, 0.768846461255
478, 961, 0.136301713076
478, 962, 0.847293609836
478, 963, 0.252453380797
479, 961, 0.967425844498
479, 962, 0.530811721337
479, 963, 0.495378226991
480, 961, 0.394520958929
480, 962, 0.92780029917
480, 963, 0.162426670736
481, 961, 0.317651426346
481, 962, 0.979972894003
481, 963, 0.672730513253
482, 961, 0.218178087413
482, 962, 0.814905327601
482, 963, 0.561203004689
483, 961, 0.75652372734
483, 962, 0.153644359893
483, 963, 0.390008050673
508, 961, 0.0878696376292
508, 962, 0.831355621238
508, 963, 0.58048388049
509, 961, 0.739825197447
509, 962, 0.142282382504
509, 963, 0.495084258846
510, 961, 0.929792705553
510, 962, 0.801903851483
510, 963, 0.0487003315192
511, 961, 0.0199496458909
511, 962, 0.0667365952977
511, 963, 0.567347683013
512, 961, 0.0306091641006
512, 962, 0.0954124791597
512, 963, 0.84695566949
513, 961, 0.676479893877
513, 962, 0.44681038393
513, 963, 0.439058297773
514, 961, 0.555789379795
514, 962, 0.256347783745
514, 963, 0.146249119123
individual: 28,312
9, 963, 0.621194193212
353, 961, 0.552139081416
353, 962, 0.539370208286
353, 963, 0.534448445435
354, 961, 0.723185362068
354, 962, 0.569478630074
354, 963, 0.10096590457
355, 961, 0.845056722143
355, 962, 0.878393902918
355, 963, 0.341869519723
356, 961, 0.91377766019
356, 962, 0.0466798264683
356, 963, 0.039993031346
357, 961, 0.198885879091
357, 962, 0.0942329535742
357, 963, 0.556047080289
358, 961, 0.543948570684
358, 962, 0.56421486327
358, 963, 0.811487567071
359, 961, 0.534536742345
359, 962, 0.989488023874
359, 963, 0.484016173389
384, 961, 0.262663575899
384, 962, 0.893584585496
384, 963, 0.787072927619
385, 961, 0.0952180697953
385, 962, 0.684055302441
385, 963, 0.277619550892
386, 961, 0.57431186962
386, 962, 0.425548000951
386, 963, 0.522019564165
387, 961, 0.648724365784
387, 962, 0.864327756624
387, 963, 0.694508531936
388, 961, 0.978762207637
388, 962, 0.125184449485
388, 963, 0.910795481091
389, 961, 0.47003633687
389, 962, 0.809103748264
389, 963, 0.399399347431
390, 961, 0.394022124132
390, 962, 0.595298007426
390, 963, 0.571892546177
561, 962, 0.0
415, 961, 0.491356700445
415, 962, 0.184645441971
415, 963, 0.775818606346
416, 961, 0.777206101009
416, 962, 0.541552691451
416, 963, 0.582401741219
417, 961, 0.443337926149
417, 962, 0.0381000625723
417, 963, 0.658401229807
418, 961, 0.208336557361
418, 962, 0.826215276681
418, 963, 0.668583957026
419, 961, 0.426848586849
419, 962, 0.785274089294
419, 963, 0.532011274635
420, 961, 0.314256600573
420, 962, 0.0887219968194
420, 963, 0.659418284242
421, 961, 0.151184493205
421, 962, 0.83123453559
421, 963, 0.21052299604
446, 961, 0.726204447887
446, 962, 0.714267526307
446, 963, 0.919647481104
447, 961, 0.659353235967
447, 962, 0.872350545751
447, 963, 0.889957161164
448, 961, 0.873652460379
448, 962, 0.325926052783
448, 963, 0.690133722505
449, 961, 0.275654399023
449, 962, 0.411624509407
449, 963, 0.561312157277
450, 961, 0.0776886563049
450, 962, 0.381728497376
450, 963, 0.665635787191
451, 961, 0.291971935785
451, 962, 0.851416270592
451, 963, 0.383993260968
452, 961, 0.805851592368
452, 962, 0.174706423059
452, 963, 0.331768682943
211, 961, 0
477, 961, 0.899298735399
477, 962, 0.523300470499
477, 963, 0.768846461255
478, 961, 0.136301713076
478, 962, 0.847293609836
478, 963, 0.252453380797
479, 961, 0.967425844498
479, 962, 0.530811721337
479, 963, 0.495378226991
480, 961, 0.394520958929
480, 962, 0.92780029917
480, 963, 0.162426670736
481, 961, 0.317651426346
